,full_name,age,birthday_GMT,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer
57,Ashley Westwood,32,4/1/1990,Midfielder,Burnley,2822,1530,1292,England,34,18,16,2,0,2,7,2,5,0,0,7,5,2,44,22,22,5,0,0.29,0.22,0.06,0,0.14,1411,1.4,64,83,564,403,0.16,8
58,Ashley Young,37,7/9/1985,Midfielder,Manchester United,2568,1207,1361,England,30,14,16,2,1,1,2,2,0,0,0,4,2,2,41,16,25,10,1,0.14,0.07,0.07,0.07,0.07,1284,1.44,63,86,257,1284,0.35,9
60,Aymeric Laporte,28,5/27/1994,Defender,Manchester City,3057,1526,1531,France,35,17,18,3,0,3,3,3,0,0,0,18,8,10,21,11,10,3,0,0.18,0.09,0.09,0,0.18,1019,0.62,146,87,1019,1019,0.09,9
61,Ayoze Perez,29,7/29/1993,Forward,Newcastle United,2929,1526,1403,Spain,37,19,18,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,1
66,Ben Gibson,29,1/15/1993,Defender,Burnley,63,63,0,England,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1.43,0,1.43,1.43,0,63,4.29,21,63,63,0,1.43,9
72,Beram Kayal,34,5/2/1988,Midfielder,Brighton & Hove Albion,934,494,440,Israel,18,9,9,1,0,1,1,1,0,0,0,5,3,2,15,8,7,4,0,0.19,0.1,0.1,0,0.2,934,1.45,62,52,234,934,0.39,8
73,Bernard Anicio Caldeira Duarte,30,9/8/1992,Midfielder,Everton,2128,960,1168,Brazil,34,16,18,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,12
75,Bernardo Silva,28,8/10/1994,Midfielder,Manchester City,2853,1470,1383,Portugal,36,18,18,7,2,5,7,4,3,0,0,18,8,10,22,11,11,3,0,0.44,0.22,0.22,0.12,0.33,408,0.69,130,79,951,408,0.09,5
77,Bobby Reid,29,2/2/1993,Midfielder,Cardiff City,1422,725,697,England,27,11,16,5,4,1,2,1,1,1,0,6,2,4,27,19,8,0,0,0.44,0.13,0.32,0.5,0.13,284,1.71,53,53,0,711,0,2
82,Callum Paterson,28,10/13/1994,Defender,Cardiff City,1996,1024,972,Scotland,27,14,13,4,3,1,1,0,1,0,0,7,5,2,37,18,19,4,0,0.23,0.05,0.18,0.26,0.09,499,1.67,54,74,499,1996,0.18,3
84,Callum Wilson,30,2/27/1992,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,15,14,5,9,9,4,5,1,1,9,5,4,44,17,27,3,0,0.82,0.32,0.5,0.34,0.67,181,1.56,58,85,845,282,0.11,1
85,Calum Chambers,27,1/20/1995,Defender,Fulham,2587,1458,1129,England,31,17,14,2,2,0,0,0,0,0,0,5,3,2,49,24,25,9,0,0.07,0,0.07,0.12,0,1294,1.7,53,83,287,0,0.31,5
88,Cedric Soares,31,8/31/1991,Defender,Southampton,1494,651,843,Portugal,18,8,10,1,1,0,2,0,2,0,0,5,2,3,26,7,19,4,0,0.18,0.12,0.06,0.14,0,1494,1.57,57,83,374,747,0.24,15
